"Notes"	"ICD-10 113 Cause List"	"ICD-10 113 Cause List Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Gender"	"Gender Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error
	"#Salmonella infections (A01-A02)"	"GR113-001"	"70-74 years"	"70-74"	"Male"	"M"	63	102736281	0.1	0.0	0.1	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"75-79 years"	"75-79"	"Female"	"F"	45	98401757	0.0	0.0	0.1	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"75-79 years"	"75-79"	"Male"	"M"	71	75129413	0.1	0.1	0.1	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"80-84 years"	"80-84"	"Female"	"F"	62	75025647	0.1	0.1	0.1	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"80-84 years"	"80-84"	"Male"	"M"	53	49947616	0.1	0.1	0.1	0.0
	"#Salmonella infections (A01-A02)"	"GR113-001"	"85-89 years"	"85-89"	"Female"	"F"	48	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"#Salmonella infections (A01-A02)"	"GR113-001"	"85-89 years"	"85-89"	"Male"	"M"	47	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"#Salmonella infections (A01-A02)"	"GR113-001"	"90-94 years"	"90-94"	"Female"	"F"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"#Salmonella infections (A01-A02)"	"GR113-001"	"90-94 years"	"90-94"	"Male"	"M"	20	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"#Salmonella infections (A01-A02)"	"GR113-001"	"95-99 years"	"95-99"	"Female"	"F"	14	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"#Shigellosis and amebiasis (A03,A06)"	"GR113-002"	"80-84 years"	"80-84"	"Female"	"F"	13	75025647	Unreliable	0.0	0.0	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"< 1 year"	"1"	"Female"	"F"	1213	42477103	2.9	2.7	3.0	0.1
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"< 1 year"	"1"	"Male"	"M"	1636	44436653	3.7	3.5	3.9	0.1
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"1-4 years"	"1-4"	"Female"	"F"	135	170430172	0.1	0.1	0.1	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"1-4 years"	"1-4"	"Male"	"M"	164	178140207	0.1	0.1	0.1	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"5-9 years"	"5-9"	"Female"	"F"	53	216636220	0.0	0.0	0.0	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"5-9 years"	"5-9"	"Male"	"M"	51	226500076	0.0	0.0	0.0	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"10-14 years"	"10-14"	"Female"	"F"	40	223802975	0.0	0.0	0.0	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"10-14 years"	"10-14"	"Male"	"M"	41	234284030	0.0	0.0	0.0	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"15-19 years"	"15-19"	"Female"	"F"	25	227307697	0.0	0.0	0.0	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"15-19 years"	"15-19"	"Male"	"M"	55	239483577	0.0	0.0	0.0	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"20-24 years"	"20-24"	"Female"	"F"	59	229052059	0.0	0.0	0.0	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"20-24 years"	"20-24"	"Male"	"M"	82	239951389	0.0	0.0	0.0	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"25-29 years"	"25-29"	"Female"	"F"	108	228601175	0.0	0.0	0.1	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"25-29 years"	"25-29"	"Male"	"M"	112	234285878	0.0	0.0	0.1	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"30-34 years"	"30-34"	"Female"	"F"	161	227330011	0.1	0.1	0.1	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"30-34 years"	"30-34"	"Male"	"M"	168	229872405	0.1	0.1	0.1	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"35-39 years"	"35-39"	"Female"	"F"	218	231430232	0.1	0.1	0.1	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"35-39 years"	"35-39"	"Male"	"M"	223	230611430	0.1	0.1	0.1	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"40-44 years"	"40-44"	"Female"	"F"	421	236277503	0.2	0.2	0.2	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"40-44 years"	"40-44"	"Male"	"M"	379	232968123	0.2	0.1	0.2	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"45-49 years"	"45-49"	"Female"	"F"	753	238712391	0.3	0.3	0.3	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"45-49 years"	"45-49"	"Male"	"M"	661	232932105	0.3	0.3	0.3	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"50-54 years"	"50-54"	"Female"	"F"	1385	232356654	0.6	0.6	0.6	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"50-54 years"	"50-54"	"Male"	"M"	1302	223575070	0.6	0.6	0.6	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"55-59 years"	"55-59"	"Female"	"F"	2293	213742200	1.1	1.0	1.1	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"55-59 years"	"55-59"	"Male"	"M"	2182	201411886	1.1	1.0	1.1	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"60-64 years "	"60-64"	"Female"	"F"	3571	183215286	1.9	1.9	2.0	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"60-64 years "	"60-64"	"Male"	"M"	3244	168055475	1.9	1.9	2.0	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"65-69 years"	"65-69"	"Female"	"F"	5500	151235357	3.6	3.5	3.7	0.0
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"65-69 years"	"65-69"	"Male"	"M"	4610	133793292	3.4	3.3	3.5	0.1
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"70-74 years"	"70-74"	"Female"	"F"	8028	122693411	6.5	6.4	6.7	0.1
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"70-74 years"	"70-74"	"Male"	"M"	6254	102736281	6.1	5.9	6.2	0.1
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"75-79 years"	"75-79"	"Female"	"F"	11664	98401757	11.9	11.6	12.1	0.1
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"75-79 years"	"75-79"	"Male"	"M"	8833	75129413	11.8	11.5	12.0	0.1
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"80-84 years"	"80-84"	"Female"	"F"	17016	75025647	22.7	22.3	23.0	0.2
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"80-84 years"	"80-84"	"Male"	"M"	11111	49947616	22.2	21.8	22.7	0.2
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"85-89 years"	"85-89"	"Female"	"F"	19816	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"85-89 years"	"85-89"	"Male"	"M"	10914	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"90-94 years"	"90-94"	"Female"	"F"	14405	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"90-94 years"	"90-94"	"Male"	"M"	6295	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"95-99 years"	"95-99"	"Female"	"F"	5589	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"95-99 years"	"95-99"	"Male"	"M"	1749	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"100+ years"	"100+"	"Female"	"F"	919	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Certain other intestinal infections (A04,A07-A09)"	"GR113-003"	"100+ years"	"100+"	"Male"	"M"	183	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"#Tuberculosis (A16-A19)"	"GR113-004"	"< 1 year"	"1"	"Female"	"F"	14	42477103	Unreliable	0.0	0.1	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"1-4 years"	"1-4"	"Female"	"F"	20	170430172	0.0	0.0	0.0	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"1-4 years"	"1-4"	"Male"	"M"	12	178140207	Unreliable	0.0	0.0	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"15-19 years"	"15-19"	"Female"	"F"	18	227307697	Unreliable	0.0	0.0	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"15-19 years"	"15-19"	"Male"	"M"	24	239483577	0.0	0.0	0.0	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"20-24 years"	"20-24"	"Female"	"F"	55	229052059	0.0	0.0	0.0	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"20-24 years"	"20-24"	"Male"	"M"	58	239951389	0.0	0.0	0.0	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"25-29 years"	"25-29"	"Female"	"F"	58	228601175	0.0	0.0	0.0	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"25-29 years"	"25-29"	"Male"	"M"	90	234285878	0.0	0.0	0.0	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"30-34 years"	"30-34"	"Female"	"F"	67	227330011	0.0	0.0	0.0	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"30-34 years"	"30-34"	"Male"	"M"	125	229872405	0.1	0.0	0.1	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"35-39 years"	"35-39"	"Female"	"F"	84	231430232	0.0	0.0	0.0	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"35-39 years"	"35-39"	"Male"	"M"	186	230611430	0.1	0.1	0.1	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"40-44 years"	"40-44"	"Female"	"F"	112	236277503	0.0	0.0	0.1	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"40-44 years"	"40-44"	"Male"	"M"	294	232968123	0.1	0.1	0.1	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"45-49 years"	"45-49"	"Female"	"F"	176	238712391	0.1	0.1	0.1	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"45-49 years"	"45-49"	"Male"	"M"	481	232932105	0.2	0.2	0.2	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"50-54 years"	"50-54"	"Female"	"F"	209	232356654	0.1	0.1	0.1	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"50-54 years"	"50-54"	"Male"	"M"	654	223575070	0.3	0.3	0.3	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"55-59 years"	"55-59"	"Female"	"F"	270	213742200	0.1	0.1	0.1	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"55-59 years"	"55-59"	"Male"	"M"	724	201411886	0.4	0.3	0.4	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"60-64 years "	"60-64"	"Female"	"F"	345	183215286	0.2	0.2	0.2	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"60-64 years "	"60-64"	"Male"	"M"	837	168055475	0.5	0.5	0.5	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"65-69 years"	"65-69"	"Female"	"F"	429	151235357	0.3	0.3	0.3	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"65-69 years"	"65-69"	"Male"	"M"	835	133793292	0.6	0.6	0.7	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"70-74 years"	"70-74"	"Female"	"F"	513	122693411	0.4	0.4	0.5	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"70-74 years"	"70-74"	"Male"	"M"	871	102736281	0.8	0.8	0.9	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"75-79 years"	"75-79"	"Female"	"F"	728	98401757	0.7	0.7	0.8	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"75-79 years"	"75-79"	"Male"	"M"	959	75129413	1.3	1.2	1.4	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"80-84 years"	"80-84"	"Female"	"F"	807	75025647	1.1	1.0	1.1	0.0
	"#Tuberculosis (A16-A19)"	"GR113-004"	"80-84 years"	"80-84"	"Male"	"M"	966	49947616	1.9	1.8	2.1	0.1
	"#Tuberculosis (A16-A19)"	"GR113-004"	"85-89 years"	"85-89"	"Female"	"F"	695	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"#Tuberculosis (A16-A19)"	"GR113-004"	"85-89 years"	"85-89"	"Male"	"M"	773	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"#Tuberculosis (A16-A19)"	"GR113-004"	"90-94 years"	"90-94"	"Female"	"F"	369	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"#Tuberculosis (A16-A19)"	"GR113-004"	"90-94 years"	"90-94"	"Male"	"M"	331	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"#Tuberculosis (A16-A19)"	"GR113-004"	"95-99 years"	"95-99"	"Female"	"F"	107	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"#Tuberculosis (A16-A19)"	"GR113-004"	"95-99 years"	"95-99"	"Male"	"M"	84	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"#Tuberculosis (A16-A19)"	"GR113-004"	"100+ years"	"100+"	"Female"	"F"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"#Tuberculosis (A16-A19)"	"GR113-004"	"100+ years"	"100+"	"Male"	"M"	11	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Respiratory tuberculosis (A16)"	"GR113-005"	"1-4 years"	"1-4"	"Female"	"F"	10	170430172	Unreliable	0.0	0.0	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"15-19 years"	"15-19"	"Male"	"M"	16	239483577	Unreliable	0.0	0.0	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"20-24 years"	"20-24"	"Female"	"F"	39	229052059	0.0	0.0	0.0	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"20-24 years"	"20-24"	"Male"	"M"	33	239951389	0.0	0.0	0.0	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"25-29 years"	"25-29"	"Female"	"F"	42	228601175	0.0	0.0	0.0	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"25-29 years"	"25-29"	"Male"	"M"	55	234285878	0.0	0.0	0.0	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"30-34 years"	"30-34"	"Female"	"F"	45	227330011	0.0	0.0	0.0	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"30-34 years"	"30-34"	"Male"	"M"	82	229872405	0.0	0.0	0.0	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"35-39 years"	"35-39"	"Female"	"F"	59	231430232	0.0	0.0	0.0	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"35-39 years"	"35-39"	"Male"	"M"	132	230611430	0.1	0.0	0.1	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"40-44 years"	"40-44"	"Female"	"F"	75	236277503	0.0	0.0	0.0	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"40-44 years"	"40-44"	"Male"	"M"	209	232968123	0.1	0.1	0.1	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"45-49 years"	"45-49"	"Female"	"F"	117	238712391	0.0	0.0	0.1	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"45-49 years"	"45-49"	"Male"	"M"	355	232932105	0.2	0.1	0.2	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"50-54 years"	"50-54"	"Female"	"F"	138	232356654	0.1	0.0	0.1	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"50-54 years"	"50-54"	"Male"	"M"	501	223575070	0.2	0.2	0.2	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"55-59 years"	"55-59"	"Female"	"F"	176	213742200	0.1	0.1	0.1	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"55-59 years"	"55-59"	"Male"	"M"	544	201411886	0.3	0.2	0.3	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"60-64 years "	"60-64"	"Female"	"F"	216	183215286	0.1	0.1	0.1	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"60-64 years "	"60-64"	"Male"	"M"	628	168055475	0.4	0.3	0.4	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"65-69 years"	"65-69"	"Female"	"F"	277	151235357	0.2	0.2	0.2	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"65-69 years"	"65-69"	"Male"	"M"	628	133793292	0.5	0.4	0.5	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"70-74 years"	"70-74"	"Female"	"F"	338	122693411	0.3	0.2	0.3	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"70-74 years"	"70-74"	"Male"	"M"	660	102736281	0.6	0.6	0.7	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"75-79 years"	"75-79"	"Female"	"F"	520	98401757	0.5	0.5	0.6	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"75-79 years"	"75-79"	"Male"	"M"	748	75129413	1.0	0.9	1.1	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"80-84 years"	"80-84"	"Female"	"F"	634	75025647	0.8	0.8	0.9	0.0
	"Respiratory tuberculosis (A16)"	"GR113-005"	"80-84 years"	"80-84"	"Male"	"M"	761	49947616	1.5	1.4	1.6	0.1
	"Respiratory tuberculosis (A16)"	"GR113-005"	"85-89 years"	"85-89"	"Female"	"F"	556	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Respiratory tuberculosis (A16)"	"GR113-005"	"85-89 years"	"85-89"	"Male"	"M"	645	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Respiratory tuberculosis (A16)"	"GR113-005"	"90-94 years"	"90-94"	"Female"	"F"	300	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Respiratory tuberculosis (A16)"	"GR113-005"	"90-94 years"	"90-94"	"Male"	"M"	281	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Respiratory tuberculosis (A16)"	"GR113-005"	"95-99 years"	"95-99"	"Female"	"F"	85	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Respiratory tuberculosis (A16)"	"GR113-005"	"95-99 years"	"95-99"	"Male"	"M"	77	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Respiratory tuberculosis (A16)"	"GR113-005"	"100+ years"	"100+"	"Female"	"F"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Other tuberculosis (A17-A19)"	"GR113-006"	"1-4 years"	"1-4"	"Female"	"F"	10	170430172	Unreliable	0.0	0.0	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"15-19 years"	"15-19"	"Female"	"F"	10	227307697	Unreliable	0.0	0.0	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"20-24 years"	"20-24"	"Female"	"F"	16	229052059	Unreliable	0.0	0.0	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"20-24 years"	"20-24"	"Male"	"M"	25	239951389	0.0	0.0	0.0	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"25-29 years"	"25-29"	"Female"	"F"	16	228601175	Unreliable	0.0	0.0	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"25-29 years"	"25-29"	"Male"	"M"	35	234285878	0.0	0.0	0.0	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"30-34 years"	"30-34"	"Female"	"F"	22	227330011	0.0	0.0	0.0	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"30-34 years"	"30-34"	"Male"	"M"	43	229872405	0.0	0.0	0.0	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"35-39 years"	"35-39"	"Female"	"F"	25	231430232	0.0	0.0	0.0	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"35-39 years"	"35-39"	"Male"	"M"	54	230611430	0.0	0.0	0.0	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"40-44 years"	"40-44"	"Female"	"F"	37	236277503	0.0	0.0	0.0	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"40-44 years"	"40-44"	"Male"	"M"	85	232968123	0.0	0.0	0.0	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"45-49 years"	"45-49"	"Female"	"F"	59	238712391	0.0	0.0	0.0	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"45-49 years"	"45-49"	"Male"	"M"	126	232932105	0.1	0.0	0.1	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"50-54 years"	"50-54"	"Female"	"F"	71	232356654	0.0	0.0	0.0	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"50-54 years"	"50-54"	"Male"	"M"	153	223575070	0.1	0.1	0.1	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"55-59 years"	"55-59"	"Female"	"F"	94	213742200	0.0	0.0	0.1	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"55-59 years"	"55-59"	"Male"	"M"	180	201411886	0.1	0.1	0.1	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"60-64 years "	"60-64"	"Female"	"F"	129	183215286	0.1	0.1	0.1	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"60-64 years "	"60-64"	"Male"	"M"	209	168055475	0.1	0.1	0.1	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"65-69 years"	"65-69"	"Female"	"F"	152	151235357	0.1	0.1	0.1	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"65-69 years"	"65-69"	"Male"	"M"	207	133793292	0.2	0.1	0.2	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"70-74 years"	"70-74"	"Female"	"F"	175	122693411	0.1	0.1	0.2	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"70-74 years"	"70-74"	"Male"	"M"	211	102736281	0.2	0.2	0.2	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"75-79 years"	"75-79"	"Female"	"F"	208	98401757	0.2	0.2	0.2	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"75-79 years"	"75-79"	"Male"	"M"	211	75129413	0.3	0.2	0.3	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"80-84 years"	"80-84"	"Female"	"F"	173	75025647	0.2	0.2	0.3	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"80-84 years"	"80-84"	"Male"	"M"	205	49947616	0.4	0.4	0.5	0.0
	"Other tuberculosis (A17-A19)"	"GR113-006"	"85-89 years"	"85-89"	"Female"	"F"	139	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Other tuberculosis (A17-A19)"	"GR113-006"	"85-89 years"	"85-89"	"Male"	"M"	128	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Other tuberculosis (A17-A19)"	"GR113-006"	"90-94 years"	"90-94"	"Female"	"F"	69	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Other tuberculosis (A17-A19)"	"GR113-006"	"90-94 years"	"90-94"	"Male"	"M"	50	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"Other tuberculosis (A17-A19)"	"GR113-006"	"95-99 years"	"95-99"	"Female"	"F"	22	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable
	"#Whooping cough (A37)"	"GR113-007"	"< 1 year"	"1"	"Female"	"F"	136	42477103	0.3	0.3	0.4	0.0
	"#Whooping cough (A37)"	"GR113-007"	"< 1 year"	"1"	"Male"	"M"	115	44436653	0.3	0.2	0.3	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	"< 1 year"	"1"	"Female"	"F"	92	42477103	0.2	0.2	0.3	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	"< 1 year"	"1"	"Male"	"M"	128	44436653	0.3	0.2	0.3	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	"1-4 years"	"1-4"	"Female"	"F"	81	170430172	0.0	0.0	0.1	0.0
	"#Meningococcal infection (A39)"	"GR113-009"	"1-4 years"	"1-4"	"Male"	"M"	123	178140207	0.1	0.1	0.1	0.0
