"Notes"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate	Crude Rate Lower 95% Confidence Interval	Crude Rate Upper 95% Confidence Interval	Crude Rate Standard Error	% of Total Deaths
	"< 1 year"	"1"	"Acute leukaemia of unspecified cell type - Malignant neoplasms"	"C95.0"	13	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Leukaemia, unspecified - Malignant neoplasms"	"C95.9"	78	42477103	0.2	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Heart - Benign neoplasms"	"D15.1"	25	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Haemangioma, any site - Benign neoplasms"	"D18.0"	28	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Lymphangioma, any site - Benign neoplasms"	"D18.1"	54	42477103	0.1	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Connective and other soft tissue, unspecified - Benign neoplasms"	"D21.9"	11	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Lip, oral cavity and pharynx - Uncertain neoplasms"	"D37.0"	11	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Liver, gallbladder and bile ducts - Uncertain neoplasms"	"D37.6"	24	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Uterus - Uncertain neoplasms"	"D39.0"	11	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Kidney - Uncertain neoplasms"	"D41.0"	10	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Brain, unspecified - Uncertain neoplasms"	"D43.2"	166	42477103	0.4	0.3	0.5	0.0	0.0%
	"< 1 year"	"1"	"Chronic myeloproliferative disease - Uncertain neoplasms"	"D47.1"	38	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Bone and articular cartilage - Uncertain neoplasms"	"D48.0"	67	42477103	0.2	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Other specified sites - Uncertain neoplasms"	"D48.7"	44	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Neoplasm of uncertain or unknown behaviour, unspecified - Uncertain neoplasms"	"D48.9"	54	42477103	0.1	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Alpha thalassaemia"	"D56.0"	18	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Sickle-cell anaemia without crisis"	"D57.1"	15	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Other haemoglobinopathies"	"D58.2"	24	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Haemolytic-uraemic syndrome"	"D59.3"	10	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Constitutional aplastic anaemia"	"D61.0"	11	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Aplastic anaemia, unspecified"	"D61.9"	12	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Anaemia, unspecified"	"D64.9"	15	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Disseminated intravascular coagulation [defibrination syndrome]"	"D65"	71	42477103	0.2	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Hereditary deficiency of other clotting factors"	"D68.2"	10	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Coagulation defect, unspecified"	"D68.9"	220	42477103	0.5	0.4	0.6	0.0	0.0%
	"< 1 year"	"1"	"Thrombocytopenia, unspecified"	"D69.6"	26	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Agranulocytosis"	"D70"	27	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Langerhans cell histiocytosis, not elsewhere classified"	"D76.0"	10	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Haemophagocytic lymphohistiocytosis"	"D76.1"	91	42477103	0.2	0.2	0.3	0.0	0.0%
	"< 1 year"	"1"	"Other histiocytosis syndromes"	"D76.3"	20	42477103	0.0	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Combined immunodeficiency, unspecified"	"D81.9"	28	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Di George syndrome"	"D82.1"	54	42477103	0.1	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Immunodeficiency, unspecified"	"D84.9"	52	42477103	0.1	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Disorder involving the immune mechanism, unspecified"	"D89.9"	14	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Congenital hypothyroidism without goitre"	"E03.1"	11	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Unspecified diabetes mellitus, without complications"	"E14.9"	12	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Hypopituitarism"	"E23.0"	18	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Diabetes insipidus"	"E23.2"	15	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Congenital adrenogenital disorders associated with enzyme deficiency"	"E25.0"	14	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Other and unspecified adrenocortical insufficiency"	"E27.4"	25	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Short stature, not elsewhere classified"	"E34.3"	91	42477103	0.2	0.2	0.3	0.0	0.0%
	"< 1 year"	"1"	"Unspecified protein-energy malnutrition"	"E46"	40	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Other disorders of branched-chain amino-acid metabolism"	"E71.1"	22	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Disorders of fatty-acid metabolism"	"E71.3"	78	42477103	0.2	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Disorders of urea cycle metabolism"	"E72.2"	82	42477103	0.2	0.2	0.2	0.0	0.0%
	"< 1 year"	"1"	"Disorders of lysine and hydroxylysine metabolism"	"E72.3"	14	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Disorders of glycine metabolism"	"E72.5"	45	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Glycogen storage disease"	"E74.0"	71	42477103	0.2	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Disorders of galactose metabolism"	"E74.2"	10	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Disorders of pyruvate metabolism and gluconeogenesis"	"E74.4"	41	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Other sphingolipidosis"	"E75.2"	108	42477103	0.3	0.2	0.3	0.0	0.0%
	"< 1 year"	"1"	"Other disorders of glycoprotein metabolism"	"E77.8"	15	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Disorders of iron metabolism"	"E83.1"	51	42477103	0.1	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Disorders of phosphorus metabolism"	"E83.3"	19	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Cystic fibrosis with intestinal manifestations"	"E84.1"	16	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Cystic fibrosis, unspecified"	"E84.9"	20	42477103	0.0	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Volume depletion"	"E86"	110	42477103	0.3	0.2	0.3	0.0	0.0%
	"< 1 year"	"1"	"Hyperosmolality and hypernatraemia"	"E87.0"	23	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Acidosis"	"E87.2"	216	42477103	0.5	0.4	0.6	0.0	0.0%
	"< 1 year"	"1"	"Hyperkalaemia"	"E87.5"	157	42477103	0.4	0.3	0.4	0.0	0.0%
	"< 1 year"	"1"	"Other disorders of electrolyte and fluid balance, not elsewhere classified"	"E87.8"	26	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Disorders of plasma-protein metabolism, not elsewhere classified"	"E88.0"	20	42477103	0.0	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Other specified metabolic disorders"	"E88.8"	22	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Metabolic disorder, unspecified"	"E88.9"	411	42477103	1.0	0.9	1.1	0.0	0.0%
	"< 1 year"	"1"	"Haemophilus meningitis"	"G00.0"	11	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Pneumococcal meningitis"	"G00.1"	62	42477103	0.1	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Streptococcal meningitis"	"G00.2"	215	42477103	0.5	0.4	0.6	0.0	0.0%
	"< 1 year"	"1"	"Other bacterial meningitis"	"G00.8"	60	42477103	0.1	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Bacterial meningitis, unspecified"	"G00.9"	127	42477103	0.3	0.2	0.4	0.0	0.0%
	"< 1 year"	"1"	"Meningitis, unspecified"	"G03.9"	180	42477103	0.4	0.4	0.5	0.0	0.0%
	"< 1 year"	"1"	"Bacterial meningoencephalitis and meningomyelitis, not elsewhere classified"	"G04.2"	10	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Encephalitis, myelitis and encephalomyelitis, unspecified"	"G04.9"	51	42477103	0.1	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Infantile spinal muscular atrophy, type I [Werdnig-Hoffman]"	"G12.0"	97	42477103	0.2	0.2	0.3	0.0	0.0%
	"< 1 year"	"1"	"Spinal muscular atrophy, unspecified"	"G12.9"	527	42477103	1.2	1.1	1.3	0.1	0.0%
	"< 1 year"	"1"	"Other specified degenerative diseases of nervous system"	"G31.8"	66	42477103	0.2	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Degenerative disease of nervous system, unspecified"	"G31.9"	48	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Other generalized epilepsy and epileptic syndromes"	"G40.4"	45	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Epilepsy, unspecified"	"G40.9"	51	42477103	0.1	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Status epilepticus, unspecified"	"G41.9"	49	42477103	0.1	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Sleep apnoea"	"G47.3"	11	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Myoneural disorder, unspecified"	"G70.9"	129	42477103	0.3	0.3	0.4	0.0	0.0%
	"< 1 year"	"1"	"Muscular dystrophy"	"G71.0"	18	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Myotonic disorders"	"G71.1"	89	42477103	0.2	0.2	0.3	0.0	0.0%
	"< 1 year"	"1"	"Congenital myopathies"	"G71.2"	109	42477103	0.3	0.2	0.3	0.0	0.0%
	"< 1 year"	"1"	"Mitochondrial myopathy, not elsewhere classified"	"G71.3"	15	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Myopathy, unspecified"	"G72.9"	17	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Infantile cerebral palsy, unspecified"	"G80.9"	67	42477103	0.2	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Other hydrocephalus"	"G91.8"	15	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Hydrocephalus, unspecified"	"G91.9"	160	42477103	0.4	0.3	0.4	0.0	0.0%
	"< 1 year"	"1"	"Anoxic brain damage, not elsewhere classified"	"G93.1"	373	42477103	0.9	0.8	1.0	0.0	0.0%
	"< 1 year"	"1"	"Encephalopathy, unspecified"	"G93.4"	298	42477103	0.7	0.6	0.8	0.0	0.0%
	"< 1 year"	"1"	"Cerebral oedema"	"G93.6"	45	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Other specified disorders of brain"	"G93.8"	113	42477103	0.3	0.2	0.3	0.0	0.0%
	"< 1 year"	"1"	"Disorder of brain, unspecified"	"G93.9"	13	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Other disorders of nervous system, not elsewhere classified"	"G98"	19	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Otitis media, unspecified"	"H66.9"	28	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Essential (primary) hypertension"	"I10"	18	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Acute myocardial infarction, unspecified"	"I21.9"	82	42477103	0.2	0.2	0.2	0.0	0.0%
	"< 1 year"	"1"	"Acute ischaemic heart disease, unspecified"	"I24.9"	15	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Atherosclerotic heart disease"	"I25.1"	17	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Chronic ischaemic heart disease, unspecified"	"I25.9"	14	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Pulmonary embolism without mention of acute cor pulmonale"	"I26.9"	23	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Primary pulmonary hypertension"	"I27.0"	409	42477103	1.0	0.9	1.1	0.0	0.0%
	"< 1 year"	"1"	"Other secondary pulmonary hypertension"	"I27.2"	626	42477103	1.5	1.4	1.6	0.1	0.0%
	"< 1 year"	"1"	"Pulmonary heart disease, unspecified"	"I27.9"	54	42477103	0.1	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Other specified diseases of pulmonary vessels"	"I28.8"	60	42477103	0.1	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Pericardial effusion (noninflammatory)"	"I31.3"	47	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Disease of pericardium, unspecified"	"I31.9"	33	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Aortic (valve) stenosis"	"I35.0"	12	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Infective myocarditis"	"I40.0"	95	42477103	0.2	0.2	0.3	0.0	0.0%
	"< 1 year"	"1"	"Acute myocarditis, unspecified"	"I40.9"	34	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Dilated cardiomyopathy"	"I42.0"	183	42477103	0.4	0.4	0.5	0.0	0.0%
	"< 1 year"	"1"	"Obstructive hypertrophic cardiomyopathy"	"I42.1"	14	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Other hypertrophic cardiomyopathy"	"I42.2"	259	42477103	0.6	0.5	0.7	0.0	0.0%
	"< 1 year"	"1"	"Endocardial fibroelastosis"	"I42.4"	311	42477103	0.7	0.7	0.8	0.0	0.0%
	"< 1 year"	"1"	"Other restrictive cardiomyopathy"	"I42.5"	18	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Other cardiomyopathies"	"I42.8"	13	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Cardiomyopathy, unspecified"	"I42.9"	305	42477103	0.7	0.6	0.8	0.0	0.0%
	"< 1 year"	"1"	"Atrioventricular block, complete"	"I44.2"	16	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Other specified conduction disorders"	"I45.8"	11	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Sudden cardiac death, so described"	"I46.1"	13	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Cardiac arrest, unspecified"	"I46.9"	182	42477103	0.4	0.4	0.5	0.0	0.0%
	"< 1 year"	"1"	"Supraventricular tachycardia"	"I47.1"	15	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Cardiac arrhythmia, unspecified"	"I49.9"	74	42477103	0.2	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Congestive heart failure"	"I50.0"	76	42477103	0.2	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Heart failure, unspecified"	"I50.9"	115	42477103	0.3	0.2	0.3	0.0	0.0%
	"< 1 year"	"1"	"Myocarditis, unspecified"	"I51.4"	217	42477103	0.5	0.4	0.6	0.0	0.0%
	"< 1 year"	"1"	"Cardiomegaly"	"I51.7"	75	42477103	0.2	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Other ill-defined heart diseases"	"I51.8"	66	42477103	0.2	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Heart disease, unspecified"	"I51.9"	68	42477103	0.2	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Subarachnoid haemorrhage, unspecified"	"I60.9"	21	42477103	0.0	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Intracerebral haemorrhage, intraventricular"	"I61.5"	238	42477103	0.6	0.5	0.6	0.0	0.0%
	"< 1 year"	"1"	"Intracerebral haemorrhage, unspecified"	"I61.9"	48	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Subdural haemorrhage (acute)(nontraumatic)"	"I62.0"	15	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Intracranial haemorrhage (nontraumatic), unspecified"	"I62.9"	89	42477103	0.2	0.2	0.3	0.0	0.0%
	"< 1 year"	"1"	"Cerebral infarction, unspecified"	"I63.9"	94	42477103	0.2	0.2	0.3	0.0	0.0%
	"< 1 year"	"1"	"Stroke, not specified as haemorrhage or infarction"	"I64"	45	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Other specified cerebrovascular diseases"	"I67.8"	524	42477103	1.2	1.1	1.3	0.1	0.0%
	"< 1 year"	"1"	"Generalized and unspecified atherosclerosis"	"I70.9"	33	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Embolism and thrombosis of other and unspecified parts of aorta"	"I74.1"	19	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Embolism and thrombosis of unspecified artery"	"I74.9"	12	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Other diseases of capillaries"	"I78.8"	54	42477103	0.1	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Embolism and thrombosis of vena cava"	"I82.2"	12	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Embolism and thrombosis of unspecified vein"	"I82.9"	12	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Compression of vein"	"I87.1"	15	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Lymphoedema, not elsewhere classified"	"I89.0"	62	42477103	0.1	0.1	0.2	0.0	0.0%
	"< 1 year"	"1"	"Other specified noninfective disorders of lymphatic vessels and lymph nodes"	"I89.8"	104	42477103	0.2	0.2	0.3	0.0	0.0%
	"< 1 year"	"1"	"Hypotension, unspecified"	"I95.9"	11	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Other and unspecified disorders of circulatory system"	"I99"	16	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Acute tracheitis"	"J04.1"	28	42477103	0.1	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Acute laryngotracheitis"	"J04.2"	11	42477103	Unreliable	0.0	0.0	0.0	0.0%
	"< 1 year"	"1"	"Acute upper respiratory infection, unspecified"	"J06.9"	41	42477103	0.1	0.1	0.1	0.0	0.0%
	"< 1 year"	"1"	"Influenza due to identified avian influenza virus"	"J09"	15	42477103	Unreliable	0.0	0.1	0.0	0.0%
	"< 1 year"	"1"	"Influenza with pneumonia, influenza virus identified"	"J10.0"	20	42477103	0.0	0.0	0.1	0.0	0.0%
