"Notes"	"Cause of death"	"Cause of death Code"	"Five-Year Age Groups"	"Five-Year Age Groups Code"	"Deaths"	"Population"	"Crude Rate"	"Crude Rate Lower 95% Confidence Interval"	"Crude Rate Upper 95% Confidence Interval"	"Crude Rate Standard Error"	"% of Total Deaths"
	"Diarrhoea and gastroenteritis of infectious origin"	"A09"	"65-69 years"	"65-69"	26	133793292	0.0	0.0	0.0	0.0	0.0%
	"Diarrhoea and gastroenteritis of infectious origin"	"A09"	"70-74 years"	"70-74"	40	102736281	0.0	0.0	0.1	0.0	0.0%
	"Diarrhoea and gastroenteritis of infectious origin"	"A09"	"75-79 years"	"75-79"	72	75129413	0.1	0.1	0.1	0.0	0.0%
	"Diarrhoea and gastroenteritis of infectious origin"	"A09"	"80-84 years"	"80-84"	69	49947616	0.1	0.1	0.2	0.0	0.0%
	"Diarrhoea and gastroenteritis of infectious origin"	"A09"	"85-89 years"	"85-89"	70	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Diarrhoea and gastroenteritis of infectious origin"	"A09"	"90-94 years"	"90-94"	35	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"< 1 year"	"1"	1443	44436653	3.2	3.1	3.4	0.1	0.0%
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"1-4 years"	"1-4"	22	178140207	0.0	0.0	0.0	0.0	0.0%
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"5-9 years"	"5-9"	10	226500076	Unreliable	0.0	0.0	0.0	0.0%
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"35-39 years"	"35-39"	10	230611430	Unreliable	0.0	0.0	0.0	0.0%
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"40-44 years"	"40-44"	16	232968123	Unreliable	0.0	0.0	0.0	0.0%
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"45-49 years"	"45-49"	40	232932105	0.0	0.0	0.0	0.0	0.0%
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"50-54 years"	"50-54"	61	223575070	0.0	0.0	0.0	0.0	0.0%
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"55-59 years"	"55-59"	88	201411886	0.0	0.0	0.1	0.0	0.0%
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"60-64 years "	"60-64"	138	168055475	0.1	0.1	0.1	0.0	0.0%
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"65-69 years"	"65-69"	145	133793292	0.1	0.1	0.1	0.0	0.0%
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"70-74 years"	"70-74"	172	102736281	0.2	0.1	0.2	0.0	0.0%
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"75-79 years"	"75-79"	212	75129413	0.3	0.2	0.3	0.0	0.0%
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"80-84 years"	"80-84"	274	49947616	0.5	0.5	0.6	0.0	0.0%
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"85-89 years"	"85-89"	247	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"90-94 years"	"90-94"	135	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Other and unspecified gastroenteritis and colitis of infectious origin"	"A09.0"	"95-99 years"	"95-99"	48	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"< 1 year"	"1"	76	44436653	0.2	0.1	0.2	0.0	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"1-4 years"	"1-4"	49	178140207	0.0	0.0	0.0	0.0	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"5-9 years"	"5-9"	17	226500076	Unreliable	0.0	0.0	0.0	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"10-14 years"	"10-14"	19	234284030	Unreliable	0.0	0.0	0.0	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"15-19 years"	"15-19"	18	239483577	Unreliable	0.0	0.0	0.0	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"20-24 years"	"20-24"	31	239951389	0.0	0.0	0.0	0.0	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"25-29 years"	"25-29"	47	234285878	0.0	0.0	0.0	0.0	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"30-34 years"	"30-34"	58	229872405	0.0	0.0	0.0	0.0	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"35-39 years"	"35-39"	82	230611430	0.0	0.0	0.0	0.0	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"40-44 years"	"40-44"	104	232968123	0.0	0.0	0.1	0.0	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"45-49 years"	"45-49"	170	232932105	0.1	0.1	0.1	0.0	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"50-54 years"	"50-54"	312	223575070	0.1	0.1	0.2	0.0	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"55-59 years"	"55-59"	426	201411886	0.2	0.2	0.2	0.0	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"60-64 years "	"60-64"	632	168055475	0.4	0.3	0.4	0.0	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"65-69 years"	"65-69"	764	133793292	0.6	0.5	0.6	0.0	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"70-74 years"	"70-74"	909	102736281	0.9	0.8	0.9	0.0	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"75-79 years"	"75-79"	1084	75129413	1.4	1.4	1.5	0.0	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"80-84 years"	"80-84"	1373	49947616	2.7	2.6	2.9	0.1	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"85-89 years"	"85-89"	1401	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"90-94 years"	"90-94"	928	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"95-99 years"	"95-99"	277	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Gastroenteritis and colitis of unspecified origin"	"A09.9"	"100+ years"	"100+"	28	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"15-19 years"	"15-19"	11	239483577	Unreliable	0.0	0.0	0.0	0.0%
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"20-24 years"	"20-24"	14	239951389	Unreliable	0.0	0.0	0.0	0.0%
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"25-29 years"	"25-29"	35	234285878	0.0	0.0	0.0	0.0	0.0%
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"30-34 years"	"30-34"	45	229872405	0.0	0.0	0.0	0.0	0.0%
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"35-39 years"	"35-39"	77	230611430	0.0	0.0	0.0	0.0	0.0%
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"40-44 years"	"40-44"	126	232968123	0.1	0.0	0.1	0.0	0.0%
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"45-49 years"	"45-49"	219	232932105	0.1	0.1	0.1	0.0	0.0%
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"50-54 years"	"50-54"	274	223575070	0.1	0.1	0.1	0.0	0.0%
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"55-59 years"	"55-59"	313	201411886	0.2	0.1	0.2	0.0	0.0%
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"60-64 years "	"60-64"	384	168055475	0.2	0.2	0.3	0.0	0.0%
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"65-69 years"	"65-69"	397	133793292	0.3	0.3	0.3	0.0	0.0%
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"70-74 years"	"70-74"	413	102736281	0.4	0.4	0.4	0.0	0.0%
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"75-79 years"	"75-79"	424	75129413	0.6	0.5	0.6	0.0	0.0%
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"80-84 years"	"80-84"	452	49947616	0.9	0.8	1.0	0.0	0.0%
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"85-89 years"	"85-89"	386	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"90-94 years"	"90-94"	168	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Tuberculosis of lung, without mention of bacteriological or histological confirmation"	"A16.2"	"95-99 years"	"95-99"	54	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"	"A16.5"	"75-79 years"	"75-79"	10	75129413	Unreliable	0.0	0.0	0.0	0.0%
	"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"	"A16.5"	"80-84 years"	"80-84"	15	49947616	Unreliable	0.0	0.0	0.0	0.0%
	"Tuberculous pleurisy, without mention of bacteriological or histological confirmation"	"A16.5"	"85-89 years"	"85-89"	12	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"20-24 years"	"20-24"	18	239951389	Unreliable	0.0	0.0	0.0	0.0%
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"25-29 years"	"25-29"	20	234285878	0.0	0.0	0.0	0.0	0.0%
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"30-34 years"	"30-34"	36	229872405	0.0	0.0	0.0	0.0	0.0%
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"35-39 years"	"35-39"	53	230611430	0.0	0.0	0.0	0.0	0.0%
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"40-44 years"	"40-44"	81	232968123	0.0	0.0	0.0	0.0	0.0%
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"45-49 years"	"45-49"	134	232932105	0.1	0.0	0.1	0.0	0.0%
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"50-54 years"	"50-54"	220	223575070	0.1	0.1	0.1	0.0	0.0%
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"55-59 years"	"55-59"	227	201411886	0.1	0.1	0.1	0.0	0.0%
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"60-64 years "	"60-64"	238	168055475	0.1	0.1	0.2	0.0	0.0%
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"65-69 years"	"65-69"	221	133793292	0.2	0.1	0.2	0.0	0.0%
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"70-74 years"	"70-74"	239	102736281	0.2	0.2	0.3	0.0	0.0%
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"75-79 years"	"75-79"	313	75129413	0.4	0.4	0.5	0.0	0.0%
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"80-84 years"	"80-84"	291	49947616	0.6	0.5	0.6	0.0	0.0%
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"85-89 years"	"85-89"	245	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"90-94 years"	"90-94"	108	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Respiratory tuberculosis unspecified, without mention of bacteriological or histological confirmation"	"A16.9"	"95-99 years"	"95-99"	19	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Tuberculous meningitis"	"A17.0"	"50-54 years"	"50-54"	10	223575070	Unreliable	0.0	0.0	0.0	0.0%
	"Tuberculous meningitis"	"A17.0"	"55-59 years"	"55-59"	11	201411886	Unreliable	0.0	0.0	0.0	0.0%
	"Tuberculous meningitis"	"A17.0"	"60-64 years "	"60-64"	10	168055475	Unreliable	0.0	0.0	0.0	0.0%
	"Tuberculous meningitis"	"A17.0"	"65-69 years"	"65-69"	14	133793292	Unreliable	0.0	0.0	0.0	0.0%
	"Tuberculous meningitis"	"A17.0"	"80-84 years"	"80-84"	15	49947616	Unreliable	0.0	0.0	0.0	0.0%
	"Tuberculosis of bones and joints"	"A18.0"	"35-39 years"	"35-39"	12	230611430	Unreliable	0.0	0.0	0.0	0.0%
	"Tuberculosis of bones and joints"	"A18.0"	"40-44 years"	"40-44"	28	232968123	0.0	0.0	0.0	0.0	0.0%
	"Tuberculosis of bones and joints"	"A18.0"	"45-49 years"	"45-49"	49	232932105	0.0	0.0	0.0	0.0	0.0%
	"Tuberculosis of bones and joints"	"A18.0"	"50-54 years"	"50-54"	65	223575070	0.0	0.0	0.0	0.0	0.0%
	"Tuberculosis of bones and joints"	"A18.0"	"55-59 years"	"55-59"	107	201411886	0.1	0.0	0.1	0.0	0.0%
	"Tuberculosis of bones and joints"	"A18.0"	"60-64 years "	"60-64"	120	168055475	0.1	0.1	0.1	0.0	0.0%
	"Tuberculosis of bones and joints"	"A18.0"	"65-69 years"	"65-69"	125	133793292	0.1	0.1	0.1	0.0	0.0%
	"Tuberculosis of bones and joints"	"A18.0"	"70-74 years"	"70-74"	121	102736281	0.1	0.1	0.1	0.0	0.0%
	"Tuberculosis of bones and joints"	"A18.0"	"75-79 years"	"75-79"	119	75129413	0.2	0.1	0.2	0.0	0.0%
	"Tuberculosis of bones and joints"	"A18.0"	"80-84 years"	"80-84"	121	49947616	0.2	0.2	0.3	0.0	0.0%
	"Tuberculosis of bones and joints"	"A18.0"	"85-89 years"	"85-89"	78	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Tuberculosis of bones and joints"	"A18.0"	"90-94 years"	"90-94"	33	Not Applicable	Not Applicable	Not Applicable	Not Applicable	Not Applicable	0.0%
	"Tuberculosis of intestines, peritoneum and mesenteric glands"	"A18.3"	"70-74 years"	"70-74"	10	102736281	Unreliable	0.0	0.0	0.0	0.0%
	"Tuberculosis of other specified organs"	"A18.8"	"80-84 years"	"80-84"	10	49947616	Unreliable	0.0	0.0	0.0	0.0%
	"Miliary tuberculosis, unspecified"	"A19.9"	"20-24 years"	"20-24"	10	239951389	Unreliable	0.0	0.0	0.0	0.0%
	"Miliary tuberculosis, unspecified"	"A19.9"	"25-29 years"	"25-29"	21	234285878	0.0	0.0	0.0	0.0	0.0%
	"Miliary tuberculosis, unspecified"	"A19.9"	"30-34 years"	"30-34"	27	229872405	0.0	0.0	0.0	0.0	0.0%
	"Miliary tuberculosis, unspecified"	"A19.9"	"35-39 years"	"35-39"	26	230611430	0.0	0.0	0.0	0.0	0.0%
	"Miliary tuberculosis, unspecified"	"A19.9"	"40-44 years"	"40-44"	39	232968123	0.0	0.0	0.0	0.0	0.0%
	"Miliary tuberculosis, unspecified"	"A19.9"	"45-49 years"	"45-49"	56	232932105	0.0	0.0	0.0	0.0	0.0%
	"Miliary tuberculosis, unspecified"	"A19.9"	"50-54 years"	"50-54"	58	223575070	0.0	0.0	0.0	0.0	0.0%
	"Miliary tuberculosis, unspecified"	"A19.9"	"55-59 years"	"55-59"	45	201411886	0.0	0.0	0.0	0.0	0.0%
